station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7343,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,22,9,13
7344,Cherry Beach,43.637764,-79.345359,48,19,29
7345,Cherry Beach Sports Field (55 Unwin Ave),43.640757,-79.343144,15,7,8
7346,Logan Av / Gerrard St E,43.6672144,-79.3452697,15,13,1
7347,Regal Rd / Dufferin St,43.673939,-79.441159,15,7,8
7348,Pape Ave / Gamble Ave,43.690237,-79.350119,19,9,10
7349,Gamble Ave / Broadview Ave,43.689211,-79.35438,23,6,17
7350,Broadview Ave / Westwood Ave,43.6848652,-79.356602,23,13,10
7351,Pretoria Av / Broadview Av,43.6783213,-79.35822,19,8,11
7352,Cosburn Ave / Donlands Ave,43.690537,-79.341307,19,9,10
7353,Fulton Ave / Pape Ave - SMART,43.68395,-79.347046,19,10,9
7354,Tommy Thompson Park (Leslie Street Spit),43.651737,-79.32325,19,4,15
7355,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,15,5,10
7356,King St E / Ontario St.,43.651885,-79.3649,14,7,7
7357,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,19,13,6
7358,Gailbraith Rd / King’s College Cr. (U of T),43.660382,-79.3954,17,9,8
7359,Rosedale Park (20 Schofield Ave),43.682645,-79.377557,23,11,12
7360,Concord Av / Dewson St,43.656945,-79.424911,17,6,11
7361,Hocken Ave./Vaughan Rd.,43.6817346,-79.4184725,19,4,15
7362,St Clair Ave W / Bathurst St.,43.683296,-79.418734,19,14,5
7363,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,15,5,10
7364,Queen St E / Nursewood Rd (Neville Park Loop),43.673831,-79.281455,19,17,2
7365,Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,23,20,3
7366,Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,20,15,5
7367,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,16,7,9
7368,Lisgar St / Dundas St SMART,43.6493472,-79.42668,5,2,3
7369,Dupont St / Emerson Ave SMART,43.667266,-79.443946,16,9,7
7371,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20,10,10
7372,King St W / Portland St,43.6448257,-79.3993258,19,13,6
7373,George St / King St E,43.6509552,-79.3707,14,7,7
7374,Frederick St / The Esplanade,43.6487245,-79.36839,19,14,4
7375,Front St E / Scott St,43.6476616,-79.37549,11,4,7
7376,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,19,7,12
7377,Balliol St / Yonge St  SMART,43.6978701,-79.39419,20,3,17
7378,Yonge St / Davisville Ave,43.6975969,-79.39654,15,7,8
7379,Lawton Blvd / Yonge St,43.6910667,-79.39535,15,9,6
7380,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,16,5,11
7381,Roehampton Ave / Yonge St,43.7080145,-79.39826,19,9,10
7382,Simcoe St / Adelaide St W,43.6481303,-79.38632,20,9,11
7383,12 Harbour St,43.6425636,-79.3762,15,4,11
7384,Cumberland Ave / Bay St SMART,43.6704537,-79.39014,12,8,4
7385,20 Charles St E,43.6691099,-79.38551,23,4,19
7386,D'Arcy St. /McCaul St. SMART,43.655227,-79.39201,16,5,11
7387,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,12,5,7
7388,Broadview Ave / Danforth Ave,43.6772,-79.35858,15,8,7
7389,College Park- Gerrard Entrance,43.658938,-79.383518,25,16,9
